District,Year,Population_Density
District_703,2021,535
District_703,2022,11295
District_703,2023,17035
District_704,2018,831
District_704,2019,19993
District_704,2020,9839
District_704,2021,15410
District_704,2022,1005
District_704,2023,14560
District_705,2018,12254
District_705,2019,14008
District_705,2020,15659
District_705,2021,9876
District_705,2022,8322
District_705,2023,17832
District_706,2018,6321
District_706,2019,2755
District_706,2020,17073
District_706,2021,17219
District_706,2022,214
District_706,2023,13093
District_707,2018,10623
District_707,2019,11746
District_707,2020,518
District_707,2021,16775
District_707,2022,6933
District_707,2023,16506
District_708,2018,17109
District_708,2019,14720
District_708,2020,11966
District_708,2021,11576
District_708,2022,8764
District_708,2023,2186
District_709,2018,11613
District_709,2019,16758
District_709,2020,2183
District_709,2021,15206
District_709,2022,16474
District_709,2023,19149
District_710,2018,13031
District_710,2019,10085
District_710,2020,18983
District_710,2021,8069
District_710,2022,16019
District_710,2023,5734
District_711,2018,10340
District_711,2019,6513
District_711,2020,7743
District_711,2021,6252
District_711,2022,8090
District_711,2023,2989
District_712,2018,2643
District_712,2019,3088
District_712,2020,16979
District_712,2021,18971
District_712,2022,1942
District_712,2023,18495
District_713,2018,13789
District_713,2019,2355
District_713,2020,4795
District_713,2021,17528
District_713,2022,11180
District_713,2023,7558
District_714,2018,1195
District_714,2019,2168
District_714,2020,8016
District_714,2021,12596
District_714,2022,4784
District_714,2023,13849
District_715,2018,19896
District_715,2019,19153
District_715,2020,2273
District_715,2021,6016
District_715,2022,11916
District_715,2023,12975
District_716,2018,13939
District_716,2019,6648
District_716,2020,5638
District_716,2021,8067
District_716,2022,18417
District_716,2023,4010
District_717,2018,14572
District_717,2019,1706
District_717,2020,9292
District_717,2021,1247
District_717,2022,12851
District_717,2023,9878
District_718,2018,16782
District_718,2019,767
District_718,2020,123
District_718,2021,9441
District_718,2022,16682
District_718,2023,7447
District_719,2018,516
District_719,2019,12960
District_719,2020,10049
District_719,2021,9573
District_719,2022,7345
District_719,2023,18756
District_720,2018,9563
District_720,2019,12640
District_720,2020,11372
District_720,2021,3523
District_720,2022,18532
District_720,2023,16881
District_721,2018,17122
District_721,2019,567
District_721,2020,8271
District_721,2021,13621
District_721,2022,5645
District_721,2023,5318
District_722,2018,2958
District_722,2019,4336
District_722,2020,3634
District_722,2021,2367
District_722,2022,18220
District_722,2023,15986
District_723,2018,11192
District_723,2019,8030
District_723,2020,11406
District_723,2021,5126
District_723,2022,8134
District_723,2023,17984
District_724,2018,11139
District_724,2019,15340
District_724,2020,16927
District_724,2021,9548
District_724,2022,19010
District_724,2023,4621
District_725,2018,9615
District_725,2019,12034
District_725,2020,16083
District_725,2021,2254
District_725,2022,4612
District_725,2023,1006
District_726,2018,11145
District_726,2019,8423
District_726,2020,16463
District_726,2021,10018
District_726,2022,10932
District_726,2023,11780
District_727,2018,12984
District_727,2019,15625
District_727,2020,18625
District_727,2021,3169
District_727,2022,1447
District_727,2023,16939
District_728,2018,1108
District_728,2019,9870
District_728,2020,19736
District_728,2021,4945
District_728,2022,10064
District_728,2023,12879
District_729,2018,14236
District_729,2019,19990
District_729,2020,10739
District_729,2021,3857
District_729,2022,752
District_729,2023,18705
District_730,2018,12044
District_730,2019,17805
District_730,2020,13719
District_730,2021,18474
District_730,2022,16562
District_730,2023,3532
District_731,2018,10852
District_731,2019,10872
District_731,2020,17576
District_731,2021,1067
District_731,2022,17176
District_731,2023,10866
District_732,2018,8291
District_732,2019,8382
District_732,2020,8821
District_732,2021,8861
District_732,2022,13927
District_732,2023,12116
District_733,2018,10052
District_733,2019,9933
District_733,2020,13758
District_733,2021,15057
District_733,2022,5157
District_733,2023,5507
District_734,2018,9375
District_734,2019,10762
District_734,2020,8680
District_734,2021,15187
District_734,2022,16974
District_734,2023,7654
District_735,2018,8996
District_735,2019,8039
District_735,2020,16422
District_735,2021,19732
District_735,2022,14560
District_735,2023,12843
District_736,2018,5507
District_736,2019,6010
District_736,2020,17609
District_736,2021,17953
District_736,2022,5121
District_736,2023,7678
District_737,2018,12457
District_737,2019,3075
District_737,2020,1846
District_737,2021,4693
District_737,2022,15701
District_737,2023,16293
District_738,2018,14864
District_738,2019,14318
District_738,2020,16326
District_738,2021,12610
District_738,2022,14812
District_738,2023,9377
District_739,2018,18437
District_739,2019,5673
District_739,2020,7062
District_739,2021,13033
District_739,2022,430
District_739,2023,13252
